type_id,name,group,market_group,race,category,meta_group
494,Dual 425mm AutoCannon I,Projectile Weapon,Large,,Module,Tech I
495,Dual 650mm Repeating Cannon I,Projectile Weapon,Large,,Module,Tech I
496,800mm Repeating Cannon I,Projectile Weapon,Large,,Module,Tech I
497,1200mm Artillery Cannon I,Projectile Weapon,Large,,Module,Tech I
498,1400mm Howitzer Artillery I,Projectile Weapon,Large,,Module,Tech I
499,Light Missile Launcher I,Missile Launcher Light,Light Missile Launchers,,Module,Tech I
501,Heavy Missile Launcher I,Missile Launcher Heavy,Heavy Launchers,,Module,Tech I
503,Torpedo Launcher I,Missile Launcher Torpedo,Torpedo Launchers,,Module,Tech I
506,'Basic' Capacitor Power Relay,Capacitor Power Relay,Capacitor Power Relays,,Module,Storyline
508,'Basic' Shield Flux Coil,Shield Flux Coil,Shield Flux Coils,,Module,Storyline
509,'Basic' Capacitor Flux Coil,Capacitor Flux Coil,Capacitor Flux Coils,,Module,Storyline
518,'Basic' Gyrostabilizer,Gyrostabilizer,Gyrostabilizers,,Module,Storyline
519,Gyrostabilizer II,Gyrostabilizer,Gyrostabilizers,,Module,Tech II
520,Gyrostabilizer I,Gyrostabilizer,Gyrostabilizers,,Module,Tech I
521,'Basic' Damage Control,Damage Control,Damage Controls,,Module,Storyline
522,'Micro' Cap Battery,Capacitor Battery,Micro,,Module,Storyline
523,Small Armor Repairer I,Armor Repair Unit,Small,,Module,Tech I
524,Small Hull Repairer I,Hull Repair Unit,Small,,Module,Tech I
526,Stasis Webifier I,Stasis Web,Stasis Webifiers,,Module,Tech I
527,Stasis Webifier II,Stasis Web,Stasis Webifiers,,Module,Tech II
529,Small Remote Capacitor Transmitter I,Remote Capacitor Transmitter,Small,,Module,Tech I
530,Small Energy Nosferatu I,Energy Nosferatu,Small,,Module,Tech I
533,Small Energy Neutralizer I,Energy Neutralizer,Small,,Module,Tech I
561,75mm Gatling Rail I,Hybrid Weapon,Small,,Module,Tech I
562,Light Electron Blaster I,Hybrid Weapon,Small,,Module,Tech I
563,Light Ion Blaster I,Hybrid Weapon,Small,,Module,Tech I
564,Light Neutron Blaster I,Hybrid Weapon,Small,,Module,Tech I
565,150mm Railgun I,Hybrid Weapon,Small,,Module,Tech I
566,Heavy Electron Blaster I,Hybrid Weapon,Medium,,Module,Tech I
567,Dual 150mm Railgun I,Hybrid Weapon,Medium,,Module,Tech I
568,Heavy Neutron Blaster I,Hybrid Weapon,Medium,,Module,Tech I
569,Heavy Ion Blaster I,Hybrid Weapon,Medium,,Module,Tech I
570,250mm Railgun I,Hybrid Weapon,Medium,,Module,Tech I
571,Electron Blaster Cannon I,Hybrid Weapon,Large,,Module,Tech I
572,Dual 250mm Railgun I,Hybrid Weapon,Large,,Module,Tech I
573,Neutron Blaster Cannon I,Hybrid Weapon,Large,,Module,Tech I
574,425mm Railgun I,Hybrid Weapon,Large,,Module,Tech I
575,Ion Blaster Cannon I,Hybrid Weapon,Large,,Module,Tech I
577,Medium Capacitor Booster I,Capacitor Booster,Medium,,Module,Tech I
578,Multispectrum Shield Hardener I,Shield Hardener,Multispectrum Shield Hardeners,,Module,Tech I
580,Burst Jammer I,Burst Jammer,ECM Bursts,,Module,Tech I
581,Passive Targeter I,Passive Targeting System,Passive Targeting Systems,,Module,Tech I
582,Bantam,Frigate,Caldari,Caldari,Ship,Tech I
583,Condor,Frigate,Caldari,Caldari,Ship,Tech I
584,Griffin,Frigate,Caldari,Caldari,Ship,Tech I
585,Slasher,Frigate,Minmatar,Minmatar,Ship,Tech I
586,Probe,Frigate,Minmatar,Minmatar,Ship,Tech I
587,Rifter,Frigate,Minmatar,Minmatar,Ship,Tech I
588,Reaper,Corvette,Minmatar,Minmatar,Ship,
589,Executioner,Frigate,Amarr,Amarr,Ship,Tech I
590,Inquisitor,Frigate,Amarr,Amarr,Ship,Tech I
591,Tormentor,Frigate,Amarr,Amarr,Ship,
592,Navitas,Frigate,Gallente,Gallente,Ship,Tech I
593,Tristan,Frigate,Gallente,Gallente,Ship,Tech I
594,Incursus,Frigate,Gallente,Gallente,Ship,Tech I
596,Impairor,Corvette,Amarr,Amarr,Ship,
597,Punisher,Frigate,Amarr,Amarr,Ship,Tech I
598,Breacher,Frigate,Minmatar,Minmatar,Ship,Tech I
599,Burst,Frigate,Minmatar,Minmatar,Ship,Tech I
601,Ibis,Corvette,Caldari,Caldari,Ship,
602,Kestrel,Frigate,Caldari,Caldari,Ship,Tech I
603,Merlin,Frigate,Caldari,Caldari,Ship,Tech I
605,Heron,Frigate,Caldari,Caldari,Ship,Tech I
606,Velator,Corvette,Gallente,Gallente,Ship,
607,Imicus,Frigate,Gallente,Gallente,Ship,Tech I
608,Atron,Frigate,Gallente,Gallente,Ship,Tech I
609,Maulus,Frigate,Gallente,Gallente,Ship,Tech I
615,Immolator,Corvette,Special Edition Corvettes,Amarr,Ship,Faction
617,Echo,Corvette,Special Edition Corvettes,Minmatar,Ship,Faction
620,Osprey,Cruiser,Caldari,Caldari,Ship,Tech I
621,Caracal,Cruiser,Caldari,Caldari,Ship,Tech I
622,Stabber,Cruiser,Minmatar,Minmatar,Ship,Tech I
623,Moa,Cruiser,Caldari,Caldari,Ship,Tech I
624,Maller,Cruiser,Amarr,Amarr,Ship,Tech I
625,Augoror,Cruiser,Amarr,Amarr,Ship,Tech I
626,Vexor,Cruiser,Gallente,Gallente,Ship,Tech I
627,Thorax,Cruiser,Gallente,Gallente,Ship,Tech I
628,Arbitrator,Cruiser,Amarr,Amarr,Ship,Tech I
629,Rupture,Cruiser,Minmatar,Minmatar,Ship,Tech I
630,Bellicose,Cruiser,Minmatar,Minmatar,Ship,Tech I
631,Scythe,Cruiser,Minmatar,Minmatar,Ship,Tech I
632,Blackbird,Cruiser,Caldari,Caldari,Ship,Tech I
633,Celestis,Cruiser,Gallente,Gallente,Ship,Tech I
634,Exequror,Cruiser,Gallente,Gallente,Ship,Tech I
635,Opux Luxury Yacht,Cruiser,Special Edition Cruisers,Gallente,Ship,Tech I
638,Raven,Battleship,Caldari,Caldari,Ship,Tech I
639,Tempest,Battleship,Minmatar,Minmatar,Ship,Tech I
640,Scorpion,Battleship,Caldari,Caldari,Ship,Tech I
641,Megathron,Battleship,Gallente,Gallente,Ship,Tech I
642,Apocalypse,Battleship,Amarr,Amarr,Ship,Tech I
643,Armageddon,Battleship,Amarr,Amarr,Ship,Tech I
644,Typhoon,Battleship,Minmatar,Minmatar,Ship,Tech I
645,Dominix,Battleship,Gallente,Gallente,Ship,Tech I
648,Badger,Hauler,Caldari,Caldari,Ship,Tech I
649,Tayra,Hauler,Caldari,Caldari,Ship,Tech I
650,Nereus,Hauler,Gallente,Gallente,Ship,Tech I
651,Hoarder,Hauler,Minmatar,Minmatar,Ship,
652,Mammoth,Hauler,Minmatar,Minmatar,Ship,Tech I
653,Wreathe,Hauler,Minmatar,Minmatar,Ship,Tech I
654,Kryos,Hauler,Gallente,Gallente,Ship,
655,Epithal,Hauler,Gallente,Gallente,Ship,Tech I
656,Miasmos,Hauler,Gallente,Gallente,Ship,Tech I
657,Iteron Mark V,Hauler,Gallente,Gallente,Ship,
671,Erebus,Titan,Gallente,Gallente,Ship,Tech I
672,Caldari Shuttle,Shuttle,Caldari,Caldari,Ship,Tech I
683,Bantam Blueprint,Frigate Blueprint,Caldari,,Blueprint,
684,Condor Blueprint,Frigate Blueprint,Caldari,,Blueprint,
685,Griffin Blueprint,Frigate Blueprint,Caldari,,Blueprint,
686,Osprey Blueprint,Cruiser Blueprint,Caldari,,Blueprint,
687,Caracal Blueprint,Cruiser Blueprint,Caldari,,Blueprint,
688,Raven Blueprint,Battleship Blueprint,Caldari,,Blueprint,
689,Slasher Blueprint,Frigate Blueprint,Minmatar,,Blueprint,
690,Probe Blueprint,Frigate Blueprint,Minmatar,,Blueprint,
691,Rifter Blueprint,Frigate Blueprint,Minmatar,,Blueprint,
692,Stabber Blueprint,Cruiser Blueprint,Minmatar,,Blueprint,
693,Tempest Blueprint,Battleship Blueprint,Minmatar,,Blueprint,
785,Miner I Blueprint,Mining Laser Blueprint,Mining Lasers,,Blueprint,
786,Light Missile Launcher I Blueprint,Missile Launcher Blueprint,Missile Launchers,,Blueprint,
788,Heavy Missile Launcher I Blueprint,Missile Launcher Blueprint,Missile Launchers,,Blueprint,
790,Torpedo Launcher I Blueprint,Missile Launcher Blueprint,Missile Launchers,,Blueprint,
803,Mjolnir Cruise Missile Blueprint,Missile Blueprint,Cruise Missiles,,Blueprint,
804,Scourge Cruise Missile Blueprint,Missile Blueprint,Cruise Missiles,,Blueprint,
805,Inferno Cruise Missile Blueprint,Missile Blueprint,Cruise Missiles,,Blueprint,
806,Nova Cruise Missile Blueprint,Missile Blueprint,Cruise Missiles,,Blueprint,
807,Nova Heavy Missile Blueprint,Missile Blueprint,Heavy Missiles,,Blueprint,
808,Mjolnir Heavy Missile Blueprint,Missile Blueprint,Heavy Missiles,,Blueprint,
809,Inferno Heavy Missile Blueprint,Missile Blueprint,Heavy Missiles,,Blueprint,
810,Scourge Heavy Missile Blueprint,Missile Blueprint,Heavy Missiles,,Blueprint,
811,Scourge Light Missile Blueprint,Missile Blueprint,Light Missiles,,Blueprint,
812,Inferno Light Missile Blueprint,Missile Blueprint,Light Missiles,,Blueprint,
813,Mjolnir Light Missile Blueprint,Missile Blueprint,Light Missiles,,Blueprint,
814,Nova Light Missile Blueprint,Missile Blueprint,Light Missiles,,Blueprint,
819,125mm Gatling AutoCannon I Blueprint,Projectile Weapon Blueprint,Small,,Blueprint,
820,150mm Light AutoCannon I Blueprint,Projectile Weapon Blueprint,Small,,Blueprint,
821,200mm AutoCannon I Blueprint,Projectile Weapon Blueprint,Small,,Blueprint,
822,250mm Light Artillery Cannon I Blueprint,Projectile Weapon Blueprint,Small,,Blueprint,
823,280mm Howitzer Artillery I Blueprint,Projectile Weapon Blueprint,Small,,Blueprint,
824,Dual 180mm AutoCannon I Blueprint,Projectile Weapon Blueprint,Medium,,Blueprint,
825,220mm Vulcan AutoCannon I Blueprint,Projectile Weapon Blueprint,Medium,,Blueprint,
826,425mm AutoCannon I Blueprint,Projectile Weapon Blueprint,Medium,,Blueprint,
827,650mm Artillery Cannon I Blueprint,Projectile Weapon Blueprint,Medium,,Blueprint,
828,720mm Howitzer Artillery I Blueprint,Projectile Weapon Blueprint,Medium,,Blueprint,
829,Dual 425mm AutoCannon I Blueprint,Projectile Weapon Blueprint,Large,,Blueprint,
830,Dual 650mm Repeating Cannon I Blueprint,Projectile Weapon Blueprint,Large,,Blueprint,
831,800mm Repeating Cannon I Blueprint,Projectile Weapon Blueprint,Large,,Blueprint,
832,1200mm Artillery Cannon I Blueprint,Projectile Weapon Blueprint,Large,,Blueprint,
833,1400mm Howitzer Artillery I Blueprint,Projectile Weapon Blueprint,Large,,Blueprint,
834,Gatling Pulse Laser I Blueprint,Energy Weapon Blueprint,Small,,Blueprint,
835,Dual Light Pulse Laser I Blueprint,Energy Weapon Blueprint,Small,,Blueprint,
836,Dual Light Beam Laser I Blueprint,Energy Weapon Blueprint,Small,,Blueprint,
837,Small Focused Pulse Laser I Blueprint,Energy Weapon Blueprint,Small,,Blueprint,
838,Small Focused Beam Laser I Blueprint,Energy Weapon Blueprint,Small,,Blueprint,
839,Quad Light Beam Laser I Blueprint,Energy Weapon Blueprint,Medium,,Blueprint,
840,Focused Medium Pulse Laser I Blueprint,Energy Weapon Blueprint,Medium,,Blueprint,
841,Focused Medium Beam Laser I Blueprint,Energy Weapon Blueprint,Medium,,Blueprint,
842,Heavy Pulse Laser I Blueprint,Energy Weapon Blueprint,Medium,,Blueprint,
843,Heavy Beam Laser I Blueprint,Energy Weapon Blueprint,Medium,,Blueprint,
844,Dual Heavy Pulse Laser I Blueprint,Energy Weapon Blueprint,Large,,Blueprint,
845,Dual Heavy Beam Laser I Blueprint,Energy Weapon Blueprint,Large,,Blueprint,
846,Mega Pulse Laser I Blueprint,Energy Weapon Blueprint,Large,,Blueprint,
847,Mega Beam Laser I Blueprint,Energy Weapon Blueprint,Large,,Blueprint,
848,Tachyon Beam Laser I Blueprint,Energy Weapon Blueprint,Large,,Blueprint,
879,Carbonized Lead S Blueprint,Projectile Ammo Blueprint,Small,,Blueprint,
880,Nuclear S Blueprint,Projectile Ammo Blueprint,Small,,Blueprint,
881,Proton S Blueprint,Projectile Ammo Blueprint,Small,,Blueprint,
882,Depleted Uranium S Blueprint,Projectile Ammo Blueprint,Small,,Blueprint,
883,Titanium Sabot S Blueprint,Projectile Ammo Blueprint,Small,,Blueprint,
884,Fusion S Blueprint,Projectile Ammo Blueprint,Small,,Blueprint,
885,Phased Plasma S Blueprint,Projectile Ammo Blueprint,Small,,Blueprint,
886,EMP S Blueprint,Projectile Ammo Blueprint,Small,,Blueprint,
887,Carbonized Lead M Blueprint,Projectile Ammo Blueprint,Medium,,Blueprint,
888,Nuclear M Blueprint,Projectile Ammo Blueprint,Medium,,Blueprint,
889,Proton M Blueprint,Projectile Ammo Blueprint,Medium,,Blueprint,
890,Depleted Uranium M Blueprint,Projectile Ammo Blueprint,Medium,,Blueprint,
891,Titanium Sabot M Blueprint,Projectile Ammo Blueprint,Medium,,Blueprint,
892,Fusion M Blueprint,Projectile Ammo Blueprint,Medium,,Blueprint,
893,Phased Plasma M Blueprint,Projectile Ammo Blueprint,Medium,,Blueprint,
894,EMP M Blueprint,Projectile Ammo Blueprint,Medium,,Blueprint,
895,Carbonized Lead L Blueprint,Projectile Ammo Blueprint,Large,,Blueprint,
896,Nuclear L Blueprint,Projectile Ammo Blueprint,Large,,Blueprint,
897,Proton L Blueprint,Projectile Ammo Blueprint,Large,,Blueprint,
898,Depleted Uranium L Blueprint,Projectile Ammo Blueprint,Large,,Blueprint,
899,Titanium Sabot L Blueprint,Projectile Ammo Blueprint,Large,,Blueprint,
900,Fusion L Blueprint,Projectile Ammo Blueprint,Large,,Blueprint,
901,Phased Plasma L Blueprint,Projectile Ammo Blueprint,Large,,Blueprint,
902,EMP L Blueprint,Projectile Ammo Blueprint,Large,,Blueprint,
936,Executioner Blueprint,Frigate Blueprint,Amarr,,Blueprint,
937,Inquisitor Blueprint,Frigate Blueprint,Amarr,,Blueprint,
938,Tormentor Blueprint,Frigate Blueprint,Amarr,,Blueprint,
939,Navitas Blueprint,Frigate Blueprint,Gallente,,Blueprint,
940,Tristan Blueprint,Frigate Blueprint,Gallente,,Blueprint,
941,Incursus Blueprint,Frigate Blueprint,Gallente,,Blueprint,
944,Punisher Blueprint,Frigate Blueprint,Amarr,,Blueprint,
945,Breacher Blueprint,Frigate Blueprint,Minmatar,,Blueprint,
946,Burst Blueprint,Frigate Blueprint,Minmatar,,Blueprint,
949,Kestrel Blueprint,Frigate Blueprint,Caldari,,Blueprint,
950,Merlin Blueprint,Frigate Blueprint,Caldari,,Blueprint,
952,Heron Blueprint,Frigate Blueprint,Caldari,,Blueprint,
954,Imicus Blueprint,Frigate Blueprint,Gallente,,Blueprint,
955,Atron Blueprint,Frigate Blueprint,Gallente,,Blueprint,
956,Maulus Blueprint,Frigate Blueprint,Gallente,,Blueprint,
967,Caldari Shuttle Blueprint,Shuttle Blueprint,Caldari,,Blueprint,
968,Moa Blueprint,Cruiser Blueprint,Caldari,,Blueprint,
969,Maller Blueprint,Cruiser Blueprint,Amarr,,Blueprint,
970,Augoror Blueprint,Cruiser Blueprint,Amarr,,Blueprint,
971,Vexor Blueprint,Cruiser Blueprint,Gallente,,Blueprint,
972,Thorax Blueprint,Cruiser Blueprint,Gallente,,Blueprint,
973,Arbitrator Blueprint,Cruiser Blueprint,Amarr,,Blueprint,
974,Rupture Blueprint,Cruiser Blueprint,Minmatar,,Blueprint,
975,Bellicose Blueprint,Cruiser Blueprint,Minmatar,,Blueprint,
976,Scythe Blueprint,Cruiser Blueprint,Minmatar,,Blueprint,
977,Blackbird Blueprint,Cruiser Blueprint,Caldari,,Blueprint,
978,Celestis Blueprint,Cruiser Blueprint,Gallente,,Blueprint,
979,Exequror Blueprint,Cruiser Blueprint,Gallente,,Blueprint,
983,Badger Blueprint,Hauler Blueprint,Caldari,,Blueprint,
984,Tayra Blueprint,Hauler Blueprint,Caldari,,Blueprint,
985,Nereus Blueprint,Hauler Blueprint,Gallente,,Blueprint,
986,Hoarder Blueprint,Hauler Blueprint,Minmatar,,Blueprint,
987,Mammoth Blueprint,Hauler Blueprint,Minmatar,,Blueprint,
988,Wreathe Blueprint,Hauler Blueprint,Minmatar,,Blueprint,
989,Kryos Blueprint,Hauler Blueprint,Gallente,,Blueprint,
990,Epithal Blueprint,Hauler Blueprint,Gallente,,Blueprint,
991,Miasmos Blueprint,Hauler Blueprint,Gallente,,Blueprint,
992,Iteron Mark V Blueprint,Hauler Blueprint,Gallente,,Blueprint,
994,Scorpion Blueprint,Battleship Blueprint,Caldari,,Blueprint,
995,Megathron Blueprint,Battleship Blueprint,Gallente,,Blueprint,
996,Apocalypse Blueprint,Battleship Blueprint,Amarr,,Blueprint,
997,Armageddon Blueprint,Battleship Blueprint,Amarr,,Blueprint,
998,Typhoon Blueprint,Battleship Blueprint,Minmatar,,Blueprint,
999,Dominix Blueprint,Battleship Blueprint,Gallente,,Blueprint,
1002,Erebus Blueprint,Titan Blueprint,Gallente,,Blueprint,
1010,Small Shield Extender I Blueprint,Shield Extender Blueprint,Shield Extenders,,Blueprint,
1026,Shield Recharger I Blueprint,Shield Recharger Blueprint,Shield Rechargers,,Blueprint,
1032,Small Shield Booster I Blueprint,Shield Booster Blueprint,Shield Boosters,,Blueprint,
